balanced_accuracy,Logistic.Regression,Decision.Tree,Naive.Bayes,XGBoost,GBM,Elastic.Net
borrow + account liquidated,50.4,50.7,50.7,49.3,49.3,50.4
borrow + deposit,63.1,63.5,66,61.5,62.1,63.1
borrow + repay,73.6,70.9,71.9,64.1,77.4,73.4
borrow + withdraw,61.7,63.6,66.2,49.3,64.2,61.6
deposit + borrow,62.3,58.6,52.4,,49.3,62.1
deposit + repay,62.8,58.6,47.7,,,62.6
deposit + withdraw,75.9,78.4,72,76.4,,75.9
repay + account liquidated,50,51.1,50.1,50.2,,50.1
repay + borrow,80.9,77.9,68.6,71.2,,81.1
repay + deposit,63.4,61.6,67.4,82,,63.5
repay + withdraw,61.7,58.7,68.7,53.7,,61.9
withdraw + borrow,62.4,49.1,59.5,,,62.4
withdraw + repay,61.2,50,67,66.9,,61.5
withdraw + deposit,82.7,82,75.2,69.7,,82.5
